"Nazwa kampanii","Nazwa zestawu reklam",Cel,"Status wyświetlania","Poziom wyświetlania",Zasięg,Wyświetlenia,Częstotliwość,"Ustawienie atrybucji","Typ wyniku",Wyniki,"Wydana kwota (PLN)","Koszt wyniku",Rozpoczęcie,Zakończenie,"Początek okresu raportowania","Koniec okresu raportowania"
"Nagrania konferencji własnych [odtworzenie nagrania na Remedium]","PKwPOZ - psychiatria, neurologia, ból - Low Back Pain",OUTCOME_SALES,completed,adset,7665,25843,3.37155903,"Kliknięcia z 7 dni",Video_Play,516,350,0.67829457,2025-11-14,2026-01-31,2025-01-01,2026-03-17
"[KL] Nagrania webinarów klienckich  [odtworzenie nagrania na Remedium]","FB/IG - Diagnoza i terapia ANN | 31.05 - film",OUTCOME_SALES,completed,adset,13305,31563,2.37226607,"Kliknięcia z 7 dni",Video_Play,194,350,1.80412371,2025-05-13,2025-05-31,2025-01-01,2026-03-17
"Nagrania konferencji własnych [odtworzenie nagrania na Remedium]","PKwPOZ - psychiatria, neurologia, ból - Farmakoterapia fibromialgii w gabinecie POZ",OUTCOME_SALES,completed,adset,7761,20112,2.59141863,"Kliknięcia z 7 dni",Video_Play,296,350,1.18243243,2025-11-14,2026-01-31,2025-01-01,2026-03-17
"Nagrania konferencji własnych [odtworzenie nagrania na Remedium]","PKwPOZ - infekcje, szczepienia, antybiotykoterapia - Teleporada w zakażeniach układu oddechowego krok po kroku",OUTCOME_SALES,completed,adset,6710,19075,2.84277198,"Kliknięcia z 7 dni",Video_Play,229,350,1.52838428,2025-09-25,2025-12-26,2025-01-01,2026-03-17
"Nagrania konferencji własnych [odtworzenie nagrania na Remedium]","PKwPOZ - infekcje, szczepienia, antybiotykoterapia - Szczepienia przed, w i po immunosupresji",OUTCOME_SALES,completed,adset,8181,19840,2.4251314,"Kliknięcia z 7 dni",Video_Play,148,350,2.36486486,2025-09-25,2025-12-26,2025-01-01,2026-03-17
"Nagrania konferencji własnych [odtworzenie nagrania na Remedium]","PKwPOZ - psychiatria, neurologia, ból - Zaburzenia pamięci w gabinecie POZ",OUTCOME_SALES,completed,adset,6481,22227,3.42956334,"Kliknięcia z 7 dni",Video_Play,68,350,5.14705882,2025-11-14,2026-01-31,2025-01-01,2026-03-17
"Nagrania konferencji własnych [odtworzenie nagrania na Remedium]","PKwPOZ - infekcje, szczepienia, antybiotykoterapia - Czynniki ryzyka zawodowego lekarza: ekspozycja na drobnoustroje i szczepienia personelu",OUTCOME_SALES,completed,adset,6627,17338,2.61626679,"Kliknięcia z 7 dni",Video_Play,103,350,3.39805825,2025-09-25,2025-12-26,2025-01-01,2026-03-17
"Nagrania konferencji własnych [odtworzenie nagrania na Remedium]","PKwPOZ - psychiatria, neurologia, ból - Jak dobrać lek przeciwdepresyjny w POZ?",OUTCOME_SALES,completed,adset,9122,24591,2.6957904,"Kliknięcia z 7 dni",Video_Play,320,350,1.09375,2025-11-13,2026-01-31,2025-01-01,2026-03-17
"Nagrania konferencji własnych [odtworzenie nagrania na Remedium]","PKwPOZ - infekcje, szczepienia, antybiotykoterapia - COVID-19 w 2025 roku: aktualne wytyczne szczepień i leczenia",OUTCOME_SALES,completed,adset,8199,22212,2.70911087,"Kliknięcia z 7 dni",Video_Play,384,350,0.91145833,2025-09-25,2025-12-26,2025-01-01,2026-03-17
"Nagrania konferencji własnych [odtworzenie nagrania na Remedium]","PKwPOZ - infekcje, szczepienia, antybiotykoterapia - Praktyczna antybiotykoterapia dolnych dróg oddechowych: kiedy beta-laktam, a kiedy od makrolid? Jak długo? A kiedy RTG?",OUTCOME_SALES,completed,adset,7725,23039,2.98239482,"Kliknięcia z 7 dni",Video_Play,200,350,1.75,2025-09-25,2025-12-26,2025-01-01,2026-03-17
"Nagrania konferencji własnych [odtworzenie nagrania na Remedium]","PKwPOZ - infekcje, szczepienia, antybiotykoterapia - Zaktualizowane wytyczne szczepienia przeciwko półpaścowi",OUTCOME_SALES,completed,adset,8161,19608,2.40264673,"Kliknięcia z 7 dni",Video_Play,129,350,2.71317829,2025-09-25,2025-12-26,2025-01-01,2026-03-17
"Nagrania konferencji własnych [odtworzenie nagrania na Remedium]","PKwPOZ - infekcje, szczepienia, antybiotykoterapia - Szczepienia dorosłych: pneumokoki, krztusiec, półpasiec i RSV - zasady i praktyczne rady",OUTCOME_SALES,completed,adset,9512,22978,2.41568545,"Kliknięcia z 7 dni",Video_Play,261,349.99,1.34095785,2025-09-25,2025-12-26,2025-01-01,2026-03-17
"Nagrania konferencji własnych [odtworzenie nagrania na Remedium]","PKwPOZ - psychiatria, neurologia, ból - Marihuana medyczna",OUTCOME_SALES,completed,adset,6722,23182,3.44867599,"Kliknięcia z 7 dni",Video_Play,107,349.99,3.27093458,2025-11-13,2026-01-31,2025-01-01,2026-03-17
"Nagrania konferencji własnych [odtworzenie nagrania na Remedium]","PKwPOZ - infekcje, szczepienia, antybiotykoterapia - Medycyna podróży: aktualizacja o nowe zagrożenia i możliwości profilaktyki.",OUTCOME_SALES,completed,adset,5952,16014,2.69052419,"Kliknięcia z 7 dni",Video_Play,191,349.99,1.83240838,2025-09-25,2025-12-26,2025-01-01,2026-03-17
"Nagrania konferencji własnych [odtworzenie nagrania na Remedium]","PKwPOZ -gastroenterologia - Celiakia",OUTCOME_SALES,completed,adset,8691,23779,2.73604879,"Kliknięcia z 7 dni",Video_Play,266,349.98,1.31571429,2025-12-03,2026-02-28,2025-01-01,2026-03-17
"Nagrania konferencji własnych [odtworzenie nagrania na Remedium]","PKwPOZ -gastroenterologia - Oś mózg-jelito",OUTCOME_SALES,completed,adset,7914,19544,2.46954764,"Kliknięcia z 7 dni",Video_Play,271,349.98,1.29143911,2025-12-03,2026-02-28,2025-01-01,2026-03-17
"Nagrania konferencji własnych [odtworzenie nagrania na Remedium]","PKwPOZ -gastroenterologia - SIBO",OUTCOME_SALES,completed,adset,11270,32092,2.84755989,"Kliknięcia z 7 dni",Video_Play,411,349.97,0.85150852,2025-12-02,2026-02-28,2025-01-01,2026-03-17
"Nagrania konferencji własnych [odtworzenie nagrania na Remedium]","PKwPOZ - psychiatria, neurologia, ból - Pierwotne bóle głowy",OUTCOME_SALES,completed,adset,6895,23728,3.4413343,"Kliknięcia z 7 dni",Video_Play,97,349.96,3.60783505,2025-11-14,2026-01-31,2025-01-01,2026-03-17
"Nagrania konferencji własnych [odtworzenie nagrania na Remedium]","PKwPOZ -gastroenterologia - Mikroskopowe zapalenie jelita grubego",OUTCOME_SALES,completed,adset,6767,19961,2.94975617,"Kliknięcia z 7 dni",Video_Play,284,349.94,1.2321831,2025-12-02,2026-02-28,2025-01-01,2026-03-17
"Nagrania konferencji własnych [odtworzenie nagrania na Remedium]","PKwPOZ -gastroenterologia - Zaburzenia wchłaniania",OUTCOME_SALES,completed,adset,6059,16724,2.76019145,"Kliknięcia z 7 dni",Video_Play,295,349.92,1.18616949,2025-12-02,2026-02-28,2025-01-01,2026-03-17
"Nagrania konferencji własnych [odtworzenie nagrania na Remedium]","PKwPOZ -gastroenterologia - Choroby odzwierzęce",OUTCOME_SALES,completed,adset,6300,18333,2.91,"Kliknięcia z 7 dni",Video_Play,160,349.92,2.187,2025-12-03,2026-02-28,2025-01-01,2026-03-17
